Date,Value
2021-05-12,-138503.3082952355
2021-05-13,-138569.2622515666
2021-05-14,-138635.24761454354
2021-05-17,-138701.26439912186
2021-05-18,-138767.3126202643
2021-05-19,-138833.39229294064
2021-05-20,-138899.50343212776
2021-05-21,-138965.6460528097
2021-05-24,-139031.82016997773
2021-05-25,-139098.0257986301
2021-05-26,-139164.26295377227
2021-05-27,-139230.53165041693
2021-05-28,-139296.8319035838
2021-06-01,-139363.16372829978
2021-06-02,-139429.527139599
2021-06-03,-139495.9221525226
2021-06-04,-139562.34878211905
2021-06-07,-139628.80704344387
2021-06-08,-139695.29695155975
2021-06-09,-139761.8185215367
2021-06-10,-139828.37176845176
2021-06-11,-139894.9567073891
2021-06-14,-139961.5733534402
2021-06-15,-140028.22172170377
2021-06-16,-140094.9018272855
2021-06-17,-140161.61368529857
2021-06-18,-140228.35731086295
2021-06-21,-140295.13271910622
2021-06-22,-140361.93992516294
2021-06-23,-140428.7789441749
2021-06-24,-140495.64979129125
2021-06-25,-140562.55248166798
2021-06-28,-140629.4870304688
2021-06-29,-140696.45345286428
2021-06-30,-140763.4517640323
2021-07-01,-140830.481979158
2021-07-02,-140897.54411343383
2021-07-06,-140964.63818205928
2021-07-07,-141031.7642002412
2021-07-08,-141098.92218319367
2021-07-09,-141166.11214613807
2021-07-12,-141233.3341043029
2021-07-13,-141300.58807292397
2021-07-14,-141367.87406724444
2021-07-15,-141435.19210251456
2021-07-16,-141502.54219399192
2021-07-19,-141569.92435694145
2021-07-20,-141637.33860663525
2021-07-21,-141704.78495835268
2021-07-22,-141772.26342738047
2021-07-23,-141839.7740290126
2021-07-26,-141907.3167785502
2021-07-27,-141974.89169130186
2021-07-28,-142042.4987825834
2021-07-29,-147086.7867724799
2021-07-30,-147156.82809951447
2021-08-02,-147226.90277956182
2021-08-03,-147297.01082850446
2021-08-04,-147367.15226223232
2021-08-05,-147437.32709664287
2021-08-06,-147507.53534764127
2021-08-09,-147577.7770311402
2021-08-10,-147648.05216305977
2021-08-11,-147718.3607593279
2021-08-12,-147788.70283587996
2021-08-13,-147859.0784086589
2021-08-16,-147929.48749361545
2021-08-17,-147999.93010670764
2021-08-18,-148070.4062639013
2021-08-19,-151080.82727259846
2021-08-20,-151152.7705236806
2021-08-23,-151224.7480334538
2021-08-24,-151296.75981823163
2021-08-25,-151368.8058943356
2021-08-26,-151440.88627809472
2021-08-27,-151513.0009858462
2021-08-30,-151585.15003393468
2021-08-31,-151657.33343871278
2021-09-01,-151729.55121654074
2021-09-02,-151801.80338378676
2021-09-03,-151874.08995682662
2021-09-07,-151946.41095204416
2021-09-08,-152018.76638583082
2021-09-09,-152091.156274586
2021-09-10,-152163.58063471675
2021-09-13,-152236.03948263807
2021-09-14,-152308.5328347726
2021-09-15,-152381.06070755108
2021-09-16,-152453.62311741183
2021-09-17,-152526.22008080105
2021-09-20,-152598.85161417286
2021-09-21,-152671.51773398914
2021-09-22,-152744.21845671962
2021-09-23,-152816.9537988419
2021-09-24,-152889.72377684127
2021-09-27,-152962.52840721127
2021-09-28,-153035.3677064528
2021-09-29,-153108.2416910749
2021-09-30,-153181.15037759443
2021-10-01,-153254.09378253616
2021-10-04,-153327.07192243263
2021-10-05,-153400.0848138243
2021-10-06,-153473.13247325944
2021-10-07,-153546.2149172943
2021-10-08,-153619.33216249305
2021-10-11,-153692.48422542753
2021-10-12,-153765.67112267777
2021-10-13,-153838.8928708314
2021-10-14,-153912.14948648415
2021-10-15,-153985.44098623964
2021-10-18,-154058.76738670925
2021-10-19,-154132.1287045125
2021-10-20,-154205.52495627652
2021-10-21,-154278.95615863666
2021-10-22,-154352.422328236
2021-10-25,-154425.92348172565
2021-10-26,-154499.45963576456
2021-10-27,-154573.03080701974
2021-10-28,-154646.63701216588
2021-10-29,-154720.27826788597
